datetime,hs,direction,tz,tp,temperature,h_onethird,hmax,tav
2020-11-07 18:15:00+00,0.69,7,3.2,3.5,26.1,0.6,1.13,3.5
2020-11-07 18:45:00+00,0.7,353,3.2,3.7,26.1,0.59,1.02,3.4
2020-11-07 19:15:00+00,0.66,338,3,3.9,26.05,0.56,0.88,3.2
2020-11-07 19:45:00+00,0.63,352,3.1,3.6,26.1,0.54,0.99,3.2
2020-11-07 20:15:00+00,0.62,357,3.1,3.3,26.05,0.54,1,3.4
2020-11-07 20:45:00+00,0.6,8,3.2,3.2,26.05,0.51,0.92,3.3
2020-11-07 21:15:00+00,0.55,359,3.2,3.5,26.1,0.46,0.8,3.3
2020-11-07 21:45:00+00,0.5,346,3.5,4.5,26.05,0.44,0.83,3.7
2020-11-07 22:15:00+00,0.51,335,3.5,5.9,26.05,0.44,0.67,3.8
2020-11-07 22:45:00+00,0.47,340,3.7,5.9,26.05,0.41,0.74,3.9
2020-11-07 23:15:00+00,0.5,346,3.3,5.6,26.05,0.43,0.68,3.6
2020-11-07 23:45:00+00,0.51,356,3.2,5.9,26,0.45,0.73,3.5
2020-11-08 00:15:00+00,0.53,350,3.1,5.3,26,0.45,0.77,3.4
2020-11-08 00:45:00+00,0.57,326,3,6.2,26,0.48,0.86,3.2
2020-11-08 01:15:00+00,0.56,350,3,5.6,26,0.47,0.72,3.3
2020-11-08 01:45:00+00,0.53,359,3.5,5.6,25.95,0.46,0.9,3.7
2020-11-08 02:15:00+00,0.55,357,3.3,5.6,25.95,0.48,0.74,3.6
2020-11-08 02:45:00+00,0.65,359,3.3,5.6,25.95,0.56,1,3.4
2020-11-08 03:15:00+00,0.73,354,3.3,5.9,25.9,0.64,1.22,3.6
2020-11-08 03:45:00+00,0.73,354,3.2,5.6,25.9,0.62,1.35,3.4
2020-11-08 04:15:00+00,0.64,350,3.2,5.6,25.85,0.55,1.03,3.5
2020-11-08 04:45:00+00,0.58,354,3.5,5.6,25.9,0.51,0.88,3.6
2020-11-08 05:15:00+00,0.52,352,3.6,5.9,25.9,0.47,0.76,3.8
2020-11-08 05:45:00+00,0.52,354,3.7,5.6,25.95,0.47,0.7,3.9
2020-11-08 06:15:00+00,0.53,354,3.4,5.9,25.95,0.47,0.72,3.6
2020-11-08 06:45:00+00,0.58,349,3.2,5.6,26,0.5,0.78,3.4
2020-11-08 07:15:00+00,0.64,69,3.1,3.1,26,0.55,1.05,3.4
2020-11-08 07:45:00+00,0.66,65,3.2,3.5,26,0.57,0.89,3.3
2020-11-08 08:15:00+00,0.64,76,3,3.2,26.05,0.55,0.9,3.1
2020-11-08 08:45:00+00,0.65,352,3.1,5.6,26.05,0.56,0.87,3.3
2020-11-08 09:15:00+00,0.6,346,3,5.9,26.1,0.52,0.89,3.3
2020-11-08 09:45:00+00,0.56,346,2.9,5.9,26.1,0.47,0.88,3
2020-11-08 10:15:00+00,0.51,350,2.9,5.6,26.1,0.43,0.8,3.2
2020-11-08 10:45:00+00,0.5,330,3,5.9,26.1,0.42,0.69,3.1
2020-11-08 11:15:00+00,0.52,346,2.9,5.6,26.15,0.44,0.71,3.1
2020-11-08 11:45:00+00,0.51,93,2.9,2.9,26.2,0.43,0.81,3.1
2020-11-08 12:15:00+00,0.53,152,2.8,2.5,26.15,0.44,0.74,3
2020-11-08 12:45:00+00,0.52,89,2.8,2.6,26.2,0.43,0.86,3
2020-11-08 13:15:00+00,0.46,316,2.9,6.7,26.2,0.38,0.66,3
2020-11-08 13:45:00+00,0.48,340,3,5.9,26.15,0.4,0.74,3.2
2020-11-08 14:15:00+00,0.44,339,3.1,5.6,26.15,0.38,0.64,3.3
2020-11-08 14:45:00+00,0.42,340,3.1,5.9,26.15,0.36,0.63,3.5
2020-11-08 15:15:00+00,0.43,322,3.3,6.7,26.15,0.37,0.63,3.6
2020-11-08 15:45:00+00,0.43,336,3.5,6.7,26.1,0.38,0.6,3.9
2020-11-08 16:15:00+00,0.44,346,3.7,6.2,26.1,0.4,0.64,4
2020-11-08 16:45:00+00,0.48,343,4.3,6.7,26.1,0.44,0.65,4.8
2020-11-08 17:15:00+00,0.44,346,4.2,5.9,26.05,0.4,0.64,4.5
2020-11-08 17:45:00+00,0.48,346,4.3,6.2,26.05,0.44,1.07,4.5
2020-11-08 18:15:00+00,0.52,340,4.5,6.7,26.05,0.49,0.78,4.9
2020-11-08 18:45:00+00,0.49,347,4.1,5.9,26.05,0.46,0.89,4.2
2020-11-08 19:15:00+00,0.54,346,3.9,5.9,26,0.5,0.91,4.3
2020-11-08 19:45:00+00,0.61,343,3.6,6.2,26,0.55,0.96,4.1
2020-11-08 20:15:00+00,0.62,350,3.3,6.2,26,0.53,1.04,3.6
2020-11-08 20:45:00+00,0.59,356,3.4,5.9,26,0.51,1.01,3.5
2020-11-08 21:15:00+00,0.6,343,3.2,6.2,25.95,0.51,0.92,3.5
2020-11-08 21:45:00+00,0.59,335,3.1,6.2,25.95,0.51,0.88,3.4
2020-11-08 22:15:00+00,0.56,339,3,6.2,25.95,0.48,0.85,3.2
2020-11-08 22:45:00+00,0.55,346,2.9,5.6,25.9,0.47,0.94,3.2
2020-11-08 23:15:00+00,0.57,345,2.8,5.9,25.9,0.48,0.79,3
2020-11-08 23:45:00+00,0.55,347,2.8,6.2,25.85,0.47,0.81,3
